,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
15,10224753,HY411489,09/05/2015 11:45:00 AM,080XX S JUSTINE ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,False,False,612,6.0,21.0,71.0,04B,1167400.0,1851512.0,2015,02/10/2018 03:50:01 PM,41.748097343,-87.662166183,"(41.748097343, -87.662166183)",18.0,21554.0,70.0,558.0,13.0,59.0,20.0,230.0
16,10224754,HY411656,09/05/2015 01:30:00 PM,007XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1531,15.0,28.0,25.0,14,1141889.0,1904448.0,2015,02/10/2018 03:50:01 PM,41.893869916,-87.754341096,"(41.893869916, -87.754341096)",11.0,22216.0,26.0,694.0,45.0,32.0,25.0,69.0
17,10224756,HY410094,07/08/2015 12:00:00 AM,103XX S TORRENCE AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,False,False,434,4.0,10.0,51.0,05,1195508.0,1836950.0,2015,02/10/2018 03:50:01 PM,41.707490122,-87.559650325,"(41.707490122, -87.559650325)",47.0,21202.0,48.0,527.0,37.0,25.0,19.0,255.0
18,10224757,HY411388,09/05/2015 09:55:00 AM,088XX S PAULINA ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,2221,22.0,21.0,71.0,05,1166554.0,1846067.0,2015,02/10/2018 03:50:01 PM,41.733173536,-87.665421067,"(41.733173536, -87.665421067)",18.0,21554.0,70.0,488.0,13.0,59.0,9.0,245.0
19,10224758,HY411568,09/05/2015 12:35:00 PM,059XX W GRACE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1633,16.0,38.0,15.0,08B,1136014.0,1924656.0,2015,02/10/2018 03:50:01 PM,41.949429769,-87.775435529,"(41.949429769, -87.775435529)",25.0,22254.0,15.0,311.0,19.0,52.0,12.0,27.0
20,10224759,HY411581,09/04/2015 10:30:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,432,4.0,10.0,52.0,14,1201814.0,1839027.0,2015,02/10/2018 03:50:01 PM,41.713031786,-87.536487809,"(41.713031786, -87.536487809)",47.0,21202.0,49.0,528.0,47.0,25.0,19.0,247.0
21,10224761,HY411650,09/02/2015 12:01:00 AM,049XX W WINNEMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,1623,16.0,45.0,12.0,14,1142583.0,1933126.0,2015,02/10/2018 03:50:01 PM,41.972552295,-87.751076926,"(41.972552295, -87.751076926)",20.0,21869.0,12.0,746.0,50.0,48.0,12.0,58.0
22,10224762,HY411563,09/04/2015 03:00:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,432,4.0,10.0,52.0,14,1201814.0,1839027.0,2015,02/10/2018 03:50:01 PM,41.713031786,-87.536487809,"(41.713031786, -87.536487809)",47.0,21202.0,49.0,528.0,47.0,25.0,19.0,247.0
23,10224763,HY411606,09/05/2015 01:45:00 PM,020XX E 71ST ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,331,3.0,5.0,43.0,03,1190856.0,1858321.0,2015,02/10/2018 03:50:01 PM,41.766247597,-87.575997062,"(41.766247597, -87.575997062)",32.0,22538.0,39.0,152.0,33.0,24.0,18.0,262.0
24,10224764,HY411550,09/03/2015 09:00:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,432,4.0,10.0,52.0,14,1201814.0,1839062.0,2015,02/10/2018 03:50:01 PM,41.713127829,-87.536486623,"(41.713127829, -87.536486623)",47.0,21202.0,49.0,528.0,47.0,25.0,19.0,247.0
25,10224765,HY411328,09/05/2015 08:45:00 AM,077XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,APARTMENT,False,True,421,4.0,7.0,43.0,08A,1197240.0,1854764.0,2015,02/10/2018 03:50:01 PM,41.756330319,-87.552716204,"(41.756330319, -87.552716204)",43.0,22538.0,39.0,421.0,37.0,24.0,19.0,225.0
26,10224766,HY411198,09/05/2015 06:20:00 AM,075XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,421,4.0,7.0,43.0,08B,1193840.0,1855495.0,2015,02/10/2018 03:50:01 PM,41.758420222,-87.565152335,"(41.758420222, -87.565152335)",43.0,22538.0,39.0,245.0,37.0,24.0,19.0,225.0
27,10224767,HY410417,09/04/2015 04:15:00 PM,079XX S SAGINAW AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,422,4.0,7.0,46.0,03,1195224.0,1852934.0,2015,02/10/2018 03:50:01 PM,41.75135862,-87.560164545,"(41.75135862, -87.560164545)",43.0,21202.0,42.0,244.0,37.0,25.0,19.0,234.0
28,10224768,HY410651,09/03/2015 08:30:00 PM,078XX S ESCANABA AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,421,4.0,7.0,43.0,06,1196887.0,1853400.0,2015,02/10/2018 03:50:01 PM,41.752596188,-87.554055126,"(41.752596188, -87.554055126)",43.0,22538.0,39.0,246.0,37.0,24.0,19.0,225.0
29,10224769,HY411672,09/05/2015 02:30:00 PM,005XX S STATE ST,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,123,1.0,2.0,32.0,06,1176446.0,1897964.0,2015,02/10/2018 03:50:01 PM,41.875367424,-87.627620993,"(41.875367424, -87.627620993)",48.0,14913.0,38.0,92.0,10.0,35.0,22.0,144.0
30,10224770,HY411586,09/05/2015 12:40:00 PM,005XX W 61ST PL,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,True,False,711,7.0,20.0,68.0,04B,1173653.0,1864134.0,2015,02/10/2018 03:50:01 PM,41.782597483,-87.638879769,"(41.782597483, -87.638879769)",53.0,21559.0,66.0,166.0,4.0,11.0,17.0,135.0
31,10224772,HY411681,09/04/2015 11:00:00 PM,011XX N ASHLAND AVE,0810,THEFT,OVER $500,STREET,False,False,1213,12.0,1.0,24.0,06,1165522.0,1907528.0,2015,02/10/2018 03:50:01 PM,41.901851233,-87.667456951,"(41.901851233, -87.667456951)",24.0,21560.0,25.0,518.0,41.0,4.0,15.0,60.0
32,10224773,HY411685,09/05/2015 07:00:00 AM,029XX W FIFTH AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1124,11.0,2.0,27.0,05,1156926.0,1899592.0,2015,02/10/2018 03:50:01 PM,41.880252868,-87.69924661,"(41.880252868, -87.69924661)",48.0,21184.0,28.0,51.0,46.0,28.0,16.0,123.0
33,10224775,HY411666,09/05/2015 09:00:00 AM,068XX S KEATING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,833,8.0,13.0,65.0,26,1146015.0,1859113.0,2015,09/17/2015 11:37:18 AM,41.769386857,-87.740336842,"(41.769386857, -87.740336842)",23.0,4300.0,63.0,318.0,15.0,58.0,13.0,209.0
34,10224776,HY411687,09/05/2015 02:45:00 PM,071XX S PULASKI RD,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,833,8.0,13.0,65.0,06,1150938.0,1857056.0,2015,02/10/2018 03:50:01 PM,41.763647552,-87.722344693,"(41.763647552, -87.722344693)",23.0,21867.0,63.0,318.0,30.0,58.0,13.0,209.0
35,10224778,HY411675,09/05/2015 02:44:00 PM,047XX N KEELER AVE,0560,ASSAULT,SIMPLE,SIDEWALK,True,False,1722,17.0,39.0,14.0,08A,1147525.0,1931300.0,2015,02/10/2018 03:50:01 PM,41.967448012,-87.732951137,"(41.967448012, -87.732951137)",28.0,21869.0,14.0,257.0,38.0,48.0,1.0,11.0
36,10224779,HY411651,09/02/2015 12:00:00 PM,076XX S PHILLIPS AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,False,True,421,4.0,7.0,43.0,26,1193859.0,1854719.0,2015,02/10/2018 03:50:01 PM,41.756290353,-87.565108099,"(41.756290353, -87.565108099)",43.0,22538.0,39.0,245.0,37.0,24.0,19.0,225.0
37,10224780,HY411660,09/05/2015 02:30:00 PM,016XX S HARDING AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,True,False,1014,10.0,24.0,29.0,26,1150326.0,1891507.0,2015,02/10/2018 03:50:01 PM,41.858197949,-87.723692079,"(41.858197949, -87.723692079)",36.0,21569.0,30.0,752.0,14.0,57.0,21.0,156.0
38,10224781,HY411499,09/05/2015 11:20:00 AM,026XX W HOLLYWOOD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,2011,20.0,40.0,2.0,03,1157555.0,1937753.0,2015,02/10/2018 03:50:01 PM,41.984956576,-87.69589518,"(41.984956576, -87.69589518)",46.0,4450.0,20.0,15.0,24.0,50.0,2.0,57.0
39,10224782,HY411661,09/05/2015 02:35:00 PM,068XX S PERRY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,722,7.0,6.0,69.0,18,1176575.0,1859730.0,2015,02/10/2018 03:50:01 PM,41.770447177,-87.628299291,"(41.770447177, -87.628299291)",31.0,21559.0,67.0,513.0,32.0,11.0,17.0,201.0
40,10224783,HY411679,09/05/2015 02:40:00 PM,041XX W CRYSTAL ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,True,False,2534,25.0,37.0,23.0,15,1148654.0,1908016.0,2015,02/10/2018 03:50:01 PM,41.903532921,-87.729402988,"(41.903532921, -87.729402988)",4.0,4299.0,24.0,286.0,45.0,5.0,6.0,194.0
41,10224784,HY411422,09/04/2015 07:30:00 PM,004XX W MARQUETTE RD,0810,THEFT,OVER $500,OTHER,False,False,722,7.0,6.0,68.0,06,1174441.0,1860502.0,2015,02/10/2018 03:50:01 PM,41.772613371,-87.636098706,"(41.772613371, -87.636098706)",31.0,21559.0,66.0,435.0,32.0,11.0,17.0,201.0
42,10224786,HY411514,09/05/2015 12:04:00 PM,062XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,711,7.0,20.0,68.0,14,1175356.0,1863632.0,2015,02/10/2018 03:50:01 PM,41.781182029,-87.632651097,"(41.781182029, -87.632651097)",53.0,21559.0,66.0,166.0,4.0,11.0,17.0,135.0
43,10224787,HY410733,09/04/2015 08:20:00 PM,060XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,712,7.0,16.0,68.0,08B,1170346.0,1864847.0,2015,02/10/2018 03:50:01 PM,41.78462669,-87.650983434,"(41.78462669, -87.650983434)",19.0,21559.0,66.0,434.0,2.0,11.0,17.0,261.0
44,10224788,HY410899,03/27/2014 12:01:00 AM,035XX S MICHIGAN AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,POLICE FACILITY/VEH PARKING LOT,True,False,213,2.0,3.0,35.0,26,1177772.0,1881665.0,2014,02/10/2018 03:50:01 PM,41.830611847,-87.623247369,"(41.830611847, -87.623247369)",12.0,4301.0,1.0,446.0,9.0,36.0,24.0,102.0
45,10224789,HY411717,09/05/2015 03:12:00 PM,052XX W QUINCY ST,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,True,False,1522,15.0,29.0,25.0,15,1141442.0,1898499.0,2015,02/10/2018 03:50:01 PM,41.877553391,-87.756129762,"(41.877553391, -87.756129762)",52.0,22216.0,26.0,68.0,7.0,32.0,25.0,97.0
46,10224790,HY411713,09/01/2015 09:00:00 AM,0000X W ILLINOIS ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESTAURANT,False,False,1831,18.0,42.0,8.0,10,1176121.0,1903605.0,2015,02/10/2018 03:50:01 PM,41.890853973,-87.628644182,"(41.890853973, -87.628644182)",22.0,4446.0,37.0,669.0,36.0,55.0,14.0,73.0
47,10224791,HY411719,09/05/2015 03:28:00 PM,064XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,723,7.0,16.0,68.0,08B,1171743.0,1862151.0,2015,02/10/2018 03:50:01 PM,41.777198018,-87.645940487,"(41.777198018, -87.645940487)",19.0,21559.0,66.0,436.0,2.0,11.0,17.0,202.0
48,10224792,HY411709,09/05/2015 03:20:00 PM,030XX W FLOURNOY ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,True,False,1134,11.0,28.0,27.0,18,1156237.0,1896878.0,2015,02/10/2018 03:50:01 PM,41.87281932,-87.701849872,"(41.87281932, -87.701849872)",11.0,21184.0,28.0,36.0,23.0,28.0,16.0,140.0
49,10224794,HY411721,09/05/2015 03:44:00 PM,074XX S WABASH AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE,False,False,323,3.0,6.0,69.0,15,1178006.0,1855786.0,2015,02/10/2018 03:50:01 PM,41.759592098,-87.623173211,"(41.759592098, -87.623173211)",31.0,21546.0,67.0,474.0,32.0,61.0,18.0,223.0
50,10224795,HY409178,09/03/2015 05:55:00 PM,027XX W POLK ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,1135,11.0,2.0,27.0,15,1158219.0,1896257.0,2015,02/10/2018 03:50:01 PM,41.871074992,-87.694589977,"(41.871074992, -87.694589977)",11.0,21184.0,28.0,38.0,23.0,28.0,16.0,146.0
51,10224797,HY411683,09/05/2015 02:00:00 PM,012XX W WILSON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,False,False,1913,19.0,46.0,3.0,26,1167243.0,1930683.0,2015,02/10/2018 03:50:01 PM,41.965352898,-87.66046802,"(41.965352898, -87.66046802)",37.0,22616.0,31.0,611.0,39.0,15.0,5.0,6.0
52,10224800,HY411723,09/05/2015 02:30:00 PM,037XX N BROADWAY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1925,19.0,46.0,6.0,07,1170388.0,1925225.0,2015,02/10/2018 03:50:01 PM,41.950307614,-87.649064886,"(41.950307614, -87.649064886)",37.0,21186.0,57.0,726.0,39.0,53.0,5.0,18.0
53,10224801,HY411697,09/05/2015 03:05:00 PM,007XX E 90TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,633,6.0,6.0,44.0,08B,1182703.0,1845129.0,2015,02/10/2018 03:50:01 PM,41.730240434,-87.606288953,"(41.730240434, -87.606288953)",31.0,21546.0,40.0,430.0,35.0,61.0,20.0,248.0
54,11645527,JC212744,02/02/2015 10:00:00 AM,069XX W ARCHER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,811,8.0,23.0,56.0,11,,,2015,04/06/2019 04:04:43 PM,,,,,,,,,,,
55,10224802,HY411753,09/05/2015 03:00:00 PM,051XX N AVERS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,1712,17.0,39.0,14.0,26,1149784.0,1933967.0,2015,02/10/2018 03:50:01 PM,41.974722701,-87.724575286,"(41.974722701, -87.724575286)",28.0,21849.0,14.0,127.0,38.0,20.0,1.0,48.0
56,10224803,HY411745,09/04/2015 11:17:00 AM,012XX N LA SALLE DR,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1821,18.0,42.0,8.0,06,1174911.0,1908547.0,2015,02/10/2018 03:50:01 PM,41.90444226,-87.63293969,"(41.90444226, -87.63293969)",22.0,14926.0,37.0,17.0,11.0,54.0,14.0,198.0
57,10224805,HY411740,09/05/2015 03:45:00 PM,004XX S STATE ST,0890,THEFT,FROM BUILDING,LIBRARY,False,False,113,1.0,2.0,32.0,06,1176436.0,1898416.0,2015,02/10/2018 03:50:01 PM,41.876607964,-87.627644063,"(41.876607964, -87.627644063)",48.0,14913.0,38.0,92.0,10.0,35.0,22.0,126.0
58,10224806,HY411696,09/03/2015 01:30:00 PM,010XX N HAMLIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1112,11.0,27.0,23.0,11,1150857.0,1906759.0,2015,02/10/2018 03:50:01 PM,41.900040745,-87.721343753,"(41.900040745, -87.721343753)",41.0,4299.0,24.0,456.0,46.0,5.0,16.0,66.0
59,10224807,HY411718,09/05/2015 03:30:00 PM,025XX W HARRISON ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1135,11.0,2.0,28.0,06,1159746.0,1897284.0,2015,02/10/2018 03:50:01 PM,41.873861861,-87.68895549,"(41.873861861, -87.68895549)",48.0,21184.0,29.0,756.0,23.0,28.0,16.0,146.0
60,10224809,HY411732,09/05/2015 03:40:00 PM,122XX S EGGLESTON AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,523,5.0,34.0,53.0,18,1175503.0,1823842.0,2015,09/17/2015 11:37:18 AM,41.671989656,-87.633298499,"(41.671989656, -87.633298499)",45.0,21861.0,50.0,60.0,22.0,19.0,10.0,218.0
61,10224810,HY411746,09/05/2015 03:15:00 PM,114XX S ST LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,531,5.0,9.0,50.0,08B,1182290.0,1829250.0,2015,02/10/2018 03:50:01 PM,41.686675992,-87.608291666,"(41.686675992, -87.608291666)",30.0,21861.0,47.0,601.0,43.0,19.0,10.0,265.0
62,10224811,HY410834,09/04/2015 08:25:00 AM,001XX E 110TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,513,5.0,9.0,49.0,05,1179338.0,1832056.0,2015,02/10/2018 03:50:01 PM,41.694443727,-87.619013197,"(41.694443727, -87.619013197)",30.0,21861.0,45.0,237.0,43.0,19.0,10.0,260.0
63,10224812,HY411619,09/05/2015 12:30:00 AM,084XX S SAGINAW AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,423,4.0,7.0,46.0,06,1195296.0,1849589.0,2015,02/10/2018 03:50:01 PM,41.742177899,-87.560010869,"(41.742177899, -87.560010869)",43.0,21202.0,42.0,226.0,37.0,25.0,19.0,238.0
64,10224813,HY411765,08/30/2015 04:00:00 PM,014XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,False,False,131,1.0,2.0,33.0,06,1177452.0,1893551.0,2015,02/10/2018 03:50:01 PM,41.863235129,-87.624061274,"(41.863235129, -87.624061274)",48.0,14913.0,34.0,374.0,9.0,35.0,22.0,94.0
65,10224814,HY411327,09/04/2015 11:00:00 PM,057XX N SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1711,17.0,39.0,13.0,14,1153345.0,1937792.0,2015,02/10/2018 03:50:01 PM,41.985148529,-87.711378169,"(41.985148529, -87.711378169)",28.0,4450.0,13.0,799.0,38.0,50.0,1.0,53.0
66,10224815,HY411431,09/05/2015 10:53:00 AM,0000X W 114TH PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,False,False,522,5.0,34.0,49.0,04B,1178072.0,1829048.0,2015,02/10/2018 03:50:01 PM,41.686218054,-87.623739069,"(41.686218054, -87.623739069)",45.0,21861.0,45.0,660.0,22.0,19.0,10.0,267.0
67,10224816,HY411658,09/05/2015 11:00:00 AM,034XX S DR MARTIN LUTHER KING JR DR,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,False,False,211,2.0,4.0,35.0,06,1179476.0,1882211.0,2015,02/10/2018 03:50:01 PM,41.832071291,-87.616978684,"(41.832071291, -87.616978684)",1.0,21194.0,1.0,581.0,10.0,40.0,24.0,169.0
68,10224819,HY411778,09/05/2015 03:02:00 PM,020XX E 79TH ST,0850,THEFT,ATTEMPT THEFT,DRUG STORE,False,False,414,4.0,8.0,46.0,06,1191073.0,1852990.0,2015,02/10/2018 03:50:01 PM,41.751613643,-87.575373855,"(41.751613643, -87.575373855)",9.0,22538.0,39.0,420.0,35.0,24.0,19.0,222.0
69,10224820,HY411701,09/05/2015 12:00:00 PM,010XX N HAMLIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1112,11.0,27.0,23.0,11,1150857.0,1906759.0,2015,02/10/2018 03:50:01 PM,41.900040745,-87.721343753,"(41.900040745, -87.721343753)",41.0,4299.0,24.0,456.0,46.0,5.0,16.0,66.0
70,10224821,HY411725,09/05/2015 03:00:00 PM,115XX S INDIANA AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,532,5.0,9.0,53.0,06,1179641.0,1828625.0,2015,02/10/2018 03:50:01 PM,41.685021672,-87.618008151,"(41.685021672, -87.618008151)",30.0,21861.0,50.0,229.0,43.0,19.0,10.0,219.0
71,10224822,HY411777,09/05/2015 04:16:00 PM,057XX S SANGAMON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,712,7.0,16.0,68.0,18,1170953.0,1866868.0,2015,02/10/2018 03:50:01 PM,41.790159304,-87.648698923,"(41.790159304, -87.648698923)",19.0,21559.0,66.0,113.0,2.0,11.0,17.0,261.0
72,10224823,HY411707,09/05/2015 12:00:00 PM,014XX N HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,True,False,1822,18.0,27.0,8.0,06,1170754.0,1909471.0,2015,02/10/2018 03:50:01 PM,41.90706989,-87.648182264,"(41.90706989, -87.648182264)",16.0,22620.0,37.0,108.0,46.0,49.0,14.0,199.0
